
D:\code\AntiGravity\pdftoolskit-main\components\tools\ChatTool.tsx
  230:73  error  `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`  react/no-unescaped-entities

D:\code\AntiGravity\pdftoolskit-main\public\pdf-lib.js
      2:5    error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
      3:37   error  'define' is not defined                                                    no-undef
      3:50   error  'define' is not defined                                                    no-undef
     26:54   error  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
     52:29   error  'p' is already defined                                                     no-redeclare
     64:37   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
     99:39   error  'i' is already defined                                                     no-redeclare
    168:48   error  Unnecessary escape character: \/                                           no-useless-escape
    168:50   error  Unnecessary escape character: \+                                           no-useless-escape
    223:50   error  Unexpected control character(s) in regular expression: \x0b                no-control-regex
    224:57   error  Unexpected control character(s) in regular expression: \x0b                no-control-regex
    226:29   error  Unexpected control character(s) in regular expression: \x0b                no-control-regex
    353:18   error  'idx' is already defined                                                   no-redeclare
    373:18   error  'idx' is already defined                                                   no-redeclare
    373:27   error  'len' is already defined                                                   no-redeclare
    566:21   error  'byte1' is already defined                                                 no-redeclare
    573:21   error  'byte1' is already defined                                                 no-redeclare
    574:21   error  'byte2' is already defined                                                 no-redeclare
    581:21   error  'byte1' is already defined                                                 no-redeclare
    582:21   error  'byte2' is already defined                                                 no-redeclare
    583:21   error  'byte3' is already defined                                                 no-redeclare
    854:17   error  'e' is already defined                                                     no-redeclare
    889:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
    890:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
    891:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
    892:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
    895:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
    899:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   2231:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   2232:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   2233:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   2234:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   2235:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4251:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4252:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4253:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4254:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4255:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4256:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4257:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4258:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4259:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4444:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4445:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4446:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4447:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4448:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4890:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4891:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4892:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   4893:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7135:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7136:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7137:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7138:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7139:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7140:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7141:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7142:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7143:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7144:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7685:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7686:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7687:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7688:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
   7830:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
   7868:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
   8170:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
   8180:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
   8190:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
   8205:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
   8215:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
   8225:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
